出租方式,户型,建筑面积,层数,低层,中层,中高层,高层,超高层,楼,朝向,装修,地址,字段9,字段10,字段11,字段12,字段13,字段14,字段15,标题,价格,字段25
整租,3室2厅2卫,160,31,0,0,0,1,0,中,南,中装修,平凉路106号,床,电视,,,空调,热水器,,房源编号 331363230,7000,"农牧大厦
                            (城关区/火车站)"
整租,1室1厅1卫,58,28,0,0,0,1,0,中,北,精装修,雁宁路395号,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 330760554,2500,"森地国际
                            (城关区/滩尖子)"
整租,1室0厅1卫,43,33,0,0,0,0,1,高,北,精装修,和政路东街189号,,电视,,,,热水器,暖气,房源编号 331176232,2600,"仁恒国际
                            (城关区/火车站)"
整租,2室1厅1卫,72,32,0,0,0,1,0,中,南,中装修,广武门花市正对面，金昌路北路和南昌路的交叉口之东北角,床,电视,,,空调,热水器,,房源编号 330838378,4100,"盛世凯旋宫
                            (城关区/东方红广场)"
整租,2室1厅1卫,68,33,0,0,0,0,1,低,南,精装修,"原和平饭店西面（东临天水南路,南临和政路）",床,电视,冰箱,洗衣机,,热水器,暖气,房源编号 331449720,2400,"阳光雅居
                            (城关区/火车站)"
整租,3室2厅2卫,150,33,0,0,0,0,1,中,南北,精装修,兰州市城关区二热十字嘉峪关路9号,,,,,,热水器,暖气,房源编号 327795794,3600,"兰大一分部
                            (城关区/二热)"
整租,2室2厅1卫,101,12,0,1,0,0,0,高,南,精装修,敦煌路616号(原一毛厂),床,电视,,,空调,热水器,暖气,房源编号 331467161,3200,"曦华源
                            (七里河区/西站)"
整租,2室2厅1卫,103,6,1,0,0,0,0,高,南北,精装修,雁滩雁兴路116、130、124路车终点(天庆花园东,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 327851787,3200,"基业豪庭
                            (城关区/雁滩北)"
整租,2室1厅1卫,78,7,1,0,0,0,0,中,暂无,中装修,牟家庄321-335号,床,电视,冰箱,洗衣机,,热水器,暖气,房源编号 331372410,1600,"牟家庄东小区
                            (城关区/火车站)"
整租,3室2厅2卫,165,25,0,0,0,1,0,低,南,中装修,中山路152-156号 （亚欧商厦北侧）,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331448977,5800,"亚太名苑
                            (城关区/西关什字)"
整租,2室2厅1卫,93,8,1,0,0,0,0,中,南北,精装修,火车站西路1-235号,床,电视,,,空调,热水器,,房源编号 330776294,3000,"居安小区
                            (城关区/五泉广场)"
整租,2室1厅1卫,90,33,0,0,0,0,1,中,南,简装修,培黎广场以西，514号规划路以北,床,电视,冰箱,洗衣机,,热水器,,房源编号 326971291,2500,"瑞南紫郡
                            (安宁区/费家营)"
整租,2室1厅1卫,98,34,0,0,0,0,1,低,暂无,中装修,七里河西站柳家营加气站西侧,床,电视,,,空调,热水器,,房源编号 331390295,2600,"天和苑
                            (七里河区/西站)"
整租,2室2厅1卫,99,18,0,0,0,0,0,低,南北,精装修,雁北路（鸿运润园对面）,,,冰箱,洗衣机,空调,热水器,暖气,房源编号 329310928,2700,"亚太国际公馆
                            (城关区/雁滩北)"
整租,2室1厅1卫,75,8,1,0,0,0,0,中,暂无,中装修,火车站西路5号,床,电视,冰箱,洗衣机,,热水器,暖气,房源编号 331242471,2300,"康瑞家园
                            (城关区/火车站)"
整租,2室2厅1卫,98,31,0,0,0,1,0,高,南,精装修,东岗东路1469,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 330618662,3100,"东瓯逸璟
                            (城关区/东部市场)"
整租,1室1厅1卫,46,25,0,0,0,1,0,高,西,中装修,火车站广场向西200米,床,电视,,,,热水器,暖气,房源编号 331298918,1900,"海天新都
                            (城关区/火车站)"
整租,1室0厅1卫,37,34,0,0,0,0,1,高,南北,精装修,任家庄112号,床,电视,冰箱,洗衣机,空调,热水器,,房源编号 331185214,2600,"仁恒美林郡
                            (七里河区/西站)"
整租,3室2厅1卫,105,6,1,0,0,0,0,高,南北,中装修,雁滩高新开发区115、53路终点站,床,电视,冰箱,洗衣机,空调,,,房源编号 331300153,3800,"天庆嘉园C区太阳岛
                            (城关区/雁滩南)"
整租,2室1厅1卫,140,28,0,0,0,1,0,低,南,中装修,张掖路中段(中央广场东南角),床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 330839712,7700,"中环广场
                            (城关区/西关什字)"
整租,2室2厅1卫,92,33,0,0,0,0,1,低,南北,中装修,银滩大桥以西，众邦金水湾西南侧,床,电视,,,空调,热水器,,房源编号 330861020,2600,"阳光怡园
                            (安宁区/费家营)"
整租,3室1厅1卫,119,9,0,1,0,0,0,高,东西,精装修,南昌路1680号,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331316624,2100,"光辉小区
                            (城关区/东方红广场)"
整租,3室1厅2卫,80,8,1,0,0,0,0,中,暂无,中装修,五福巷26-42,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331395240,3500,"省人大家属院
                            (城关区/东方红广场)"
整租,4室2厅4卫,408,18,0,0,0,0,0,高,南北,精装修,天水北路3111号(省政协办公楼北侧),,,,,空调,热水器,暖气,房源编号 330100817,17999,"正茂御景东方
                            (城关区/滩尖子)"
整租,2室2厅1卫,97,33,0,0,0,0,1,低,南,中装修,和政路东街189号,床,电视,,,空调,热水器,,房源编号 331356516,4500,"仁恒国际
                            (城关区/火车站)"
整租,3室2厅1卫,100,8,1,0,0,0,0,高,南,中装修,兰州市火车站西路附近,床,电视,冰箱,洗衣机,,热水器,暖气,房源编号 331146369,3000,"新丽小区
                            (城关区/火车站)"
整租,2室2厅1卫,130,30,0,0,0,1,0,低,南北,中装修,兰州市七里河建工中街29号,床,电视,,,空调,热水器,,房源编号 331022931,3500,"建工东院
                            (七里河区/小西湖)"
整租,2室1厅1卫,94,33,0,0,0,0,1,低,暂无,中装修,西站郑家庄什字西南角（兰石小学东侧）,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331470762,2700,"明珠家园
                            (七里河区/西站)"
整租,3室2厅1卫,110,6,1,0,0,0,0,中,南北,简装修,宝石花路，安宁西路兰州交通大学对面,床,,,,空调,热水器,暖气,房源编号 331277272,2800,"安宁科教城
                            (安宁区/费家营)"
整租,2室2厅1卫,76,6,1,0,0,0,0,高,南北,中装修,火车站西路381号,床,电视,,,空调,热水器,,房源编号 331046820,2700,"乘警队小区
                            (城关区/火车站)"
整租,2室2厅1卫,68,8,1,0,0,0,0,中,暂无,中装修,建西西路6-84号,床,电视,,,空调,热水器,,房源编号 331314064,1500,"铁路南场小区
                            (七里河区/西站)"
整租,2室2厅1卫,85,30,0,0,0,1,0,低,暂无,中装修,城关区火车站东路438-458号,床,电视,冰箱,洗衣机,空调,热水器,,房源编号 330857307,2900,"和谐家园
                            (城关区/火车站)"
整租,2室2厅2卫,118,8,1,0,0,0,0,高,南北,精装修,武威路48号,床,电视,冰箱,洗衣机,空调,热水器,,房源编号 331304277,2000,"西太华工贸家属院
                            (七里河区/西站)"
,3室0厅1卫,60,5,1,0,0,0,0,中,东西,中装修,嘉峪关东路131—137路,床,电视,冰箱,洗衣机,,热水器,,房源编号 331452489,1900,"东岗电力小区
                            (城关区/东部市场)"
整租,2室2厅1卫,46,6,1,0,0,0,0,中,暂无,中装修,铁路新村东街951至999号,床,电视,冰箱,,,热水器,暖气,房源编号 330829690,1500,"兰铁福苑小区
                            (城关区/火车站)"
整租,2室1厅1卫,90,8,1,0,0,0,0,中,南,精装修,西津西路969-1031号,床,电视,,,空调,热水器,暖气,房源编号 331286196,1500,"肉联厂家属院
                            (七里河区/秀川)"
整租,2室2厅1卫,130,32,0,0,0,1,0,高,南,中装修,广武门花市正对面，金昌路北路和南昌路的交叉口之东北角,床,电视,,,空调,热水器,,房源编号 331299601,5000,"盛世凯旋宫
                            (城关区/东方红广场)"
整租,1室1厅1卫,43,8,1,0,0,0,0,中,南,中装修,民勤街29号,床,电视,,,空调,热水器,,房源编号 331298813,1700,"民勤街小区
                            (城关区/东方红广场)"
整租,1室1厅1卫,55,6,1,0,0,0,0,中,南,精装修,麦积山路附近   兰医一院家属院,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 330175607,2200,"兰大中医附属家属院
                            (城关区/东部市场)"
整租,2室1厅1卫,90,30,0,0,0,1,0,中,暂无,中装修,兰州七里河建西东路420号,床,电视,,,空调,热水器,暖气,房源编号 331160617,2000,"铁建丽苑
                            (七里河区/龚家湾)"
整租,2室1厅1卫,102,28,0,0,0,1,0,低,南,中装修,张掖路中段(中央广场东南角),床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 330218200,5800,"中环广场
                            (城关区/西关什字)"
整租,1室1厅1卫,58,28,0,0,0,1,0,中,北,精装修,雁宁路395号,床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 330709605,2600,"森地国际
                            (城关区/滩尖子)"
整租,2室2厅1卫,80,8,1,0,0,0,0,中,暂无,中装修,铁路新村东街951至999号,床,电视,冰箱,洗衣机,,热水器,暖气,房源编号 331242498,2200,"兰铁福苑小区
                            (城关区/火车站)"
整租,2室2厅1卫,103,28,0,0,0,1,0,低,暂无,中装修,张掖路中段(中央广场东南角),床,电视,冰箱,洗衣机,空调,热水器,暖气,房源编号 331408391,5000,"中环广场
                            (城关区/西关什字)"
整租,2室2厅1卫,128,22,0,0,0,1,0,高,南,中装修,七里河建工局建投一号楼,床,电视,,,空调,热水器,,房源编号 330838499,3600,"建工局
                            (七里河区/小西湖)"
整租,3室2厅1卫,123,16,0,0,0,0,0,中,南北,中装修,皋兰路南口魔方KTV,床,电视,,,空调,热水器,,房源编号 331303297,5000,"嘉成大厦
                            (城关区/东方红广场)"
