出租方式,户型,建筑面积,层数,楼层,朝向,装修,地址,床,电视,冰箱,洗衣机,空调,热水器,标题,价格
整租,3室2厅1卫,105,6,高层,8,4,雁滩雁兴路116、130、124路车终点(天庆花园东,1,1,1,1,1,1,房源编号 307786037,3000
整租,2室1厅1卫,80,6,中层,2,3,西关上沟45号,1,1,1,0,1,1,房源编号 307604242,1900
整租,2室1厅1卫,79,6,高层,10,3,一只船南街，一只船小学对面,1,0,0,1,0,1,房源编号 306042366,2000
整租,2室2厅1卫,98,32,中层,6,4,城关区北面滩新村以东、甘肃联合大学以西、中广宜景湾尚,1,1,0,0,1,1,房源编号 308311508,2600
整租,2室1厅1卫,60,6,低层,9,2,段家滩路1265-1517号，五里铺桥北(原灯泡厂院,0,0,0,0,0,0,房源编号 309094572,1800
整租,2室2厅1卫,98,32,低层,8,4,东岗东路1469,1,1,1,1,1,1,房源编号 307027218,3500
整租,2室1厅1卫,73,8,中层,8,2,陈家湾子10-36号,1,1,0,0,0,1,房源编号 308044975,2000
整租,2室2厅1卫,91,26,高层,10,4,雁滩大桥向东，鸿运润园东侧,1,1,1,1,1,1,房源编号 307033161,3500
整租,1室1厅1卫,50,8,低层,8,2,甘肃省兰州市城关区酒泉路166号,0,0,0,0,0,0,房源编号 307937079,1700
整租,4室2厅2卫,198,18,中层,10,4,雁滩黄河大桥向东800米,1,1,0,0,1,1,房源编号 309475200,7200
整租,2室1厅1卫,101,24,高层,8,2,南面滩138路终点站可口可乐加油站东侧,1,1,1,1,1,1,房源编号 307763620,2400
整租,2室2厅1卫,125,29,中层,8,5,兰州市城关区段家滩路450号,0,0,0,0,0,1,房源编号 307900328,2200
整租,2室1厅1卫,71,7,低层,8,4,段家滩路1474号,1,1,0,0,0,1,房源编号 309234178,1800
整租,2室2厅1卫,100,32,低层,8,4,雁北路(西邻辰北花园、鸿运润园，与天庆莱茵小镇相邻),1,1,1,1,0,1,房源编号 306970043,3600
整租,2室1厅1卫,68,6,高层,10,2,嘉峪关西路14～76号,1,0,0,0,0,1,房源编号 307234408,1700
整租,2室2厅1卫,75,7,高层,8,2,城关区静宁路219号,1,0,0,0,0,1,房源编号 308045448,2300
整租,2室2厅1卫,90,33,低层,10,4,城关区雁西路1382号,1,1,1,1,1,1,房源编号 309469335,3000
整租,2室1厅1卫,55,8,中层,8,2,段家滩1188号,1,0,0,0,0,0,房源编号 309346065,1300
整租,2室1厅1卫,70,7,中层,10,2,东岗东路，拱星墩社区肉菜市场,1,1,0,0,1,1,房源编号 309163477,2000
整租,2室0厅1卫,40,8,中层,8,2,正宁路夜市旁幼儿园小区,0,0,0,0,0,0,房源编号 307934225,1400
整租,2室2厅1卫,98,32,高层,8,4,南面滩138路终点站可口可乐加油站东侧,1,1,1,1,1,1,房源编号 307790067,2800
整租,2室1厅1卫,62,8,中层,8,3,东岗东路1556-1652号,1,1,1,1,1,1,房源编号 308812450,2000
整租,2室2厅2卫,103,32,中层,8,4,甘肃联合大学东侧（北临黄河）,1,1,1,1,1,1,房源编号 308311087,3600
整租,3室1厅1卫,90,8,高层,8,2,东岗东路983--1023号（时代伟业斜对面）,1,1,1,1,0,1,房源编号 308877861,1800
整租,2室2厅1卫,105,15,中层,8,2,段家滩452号,1,0,0,0,0,1,房源编号 309508376,2500
整租,2室2厅1卫,106,12,低层,8,3,皋兰路22号，一只船小学旁边,0,0,0,0,0,1,房源编号 307845578,4000
整租,2室2厅1卫,92,23,低层,9,2,大众巷58号,0,0,0,0,0,0,房源编号 307929348,3800
整租,3室1厅1卫,75,8,中层,8,2,甘南路兰海商贸城北门对面,0,0,0,0,0,0,房源编号 307936226,2300
整租,2室2厅2卫,146,33,高层,10,4,城关区黄河北庙滩子,0,0,0,0,0,0,房源编号 307858081,3200
整租,4室2厅2卫,175,32,高层,8,2,城关区段家滩雁儿湾,1,1,1,1,1,1,房源编号 307787113,4500
整租,2室2厅1卫,96,8,高层,暂无,4,拱星墩街道段家滩路，鱼池口小商品市场附近,1,1,1,1,1,1,房源编号 309089684,2500
整租,2室2厅1卫,100,6,高层,8,2,大砂坪佛慈大街228号,0,0,0,0,0,0,房源编号 307860259,2200
整租,2室2厅1卫,103,28,高层,8,4,雁北路(西邻辰北花园、鸿运润园，与天庆莱茵小镇相邻),1,1,1,1,1,1,房源编号 309478223,4000
整租,1室1厅1卫,55,18,高层,10,3,城关区草场街街道砂坪村114号,1,0,0,0,0,1,房源编号 309558269,2000
整租,3室2厅2卫,125,6,高层,10,3,雁滩雁兴路116、130、124路车终点(天庆花园东,1,1,1,1,0,1,房源编号 308675170,3500
整租,2室2厅1卫,94,32,低层,4,3,城关区雁兴路,1,1,1,1,1,1,房源编号 307766224,2800
整租,1室1厅1卫,46,8,高层,4,2,畅家巷140号（广场南路）,1,0,0,0,0,0,房源编号 307928927,1700
整租,2室2厅1卫,100,7,中层,10,4,雁滩黄河大桥向东800米,1,1,1,1,1,1,房源编号 308310618,3500
整租,3室2厅2卫,115,8,低层,10,4,段家滩商学院附近（原电影制片厂内）,1,1,0,0,0,0,房源编号 308012134,2800
整租,2室2厅1卫,110,9,高层,8,3,一只船南街100号,0,1,1,1,0,1,房源编号 307641324,2100
整租,1室1厅1卫,65,8,中层,暂无,2,段家滩路，兰州商学院旁,1,1,0,0,1,1,房源编号 309089423,1600
整租,3室2厅1卫,100,6,高层,8,4,雁滩路3642-3668号,1,1,0,0,1,1,房源编号 308812094,2100
整租,2室2厅1卫,100,33,高层,8,4,南面滩138路终点站可口可乐加油站东侧,1,0,0,0,0,0,房源编号 307764404,2800
整租,3室2厅2卫,150,31,高层,5,4,兰州市东岗西路469号,0,1,0,0,0,1,房源编号 299119219,7300
整租,2室2厅1卫,98,32,中层,6,4,城关区雁西路1382号,1,1,0,0,1,1,房源编号 307475078,2400
整租,2室1厅1卫,90,8,高层,8,5,南河路1582-1622号,1,1,1,1,1,1,房源编号 309500554,2600
整租,2室1厅1卫,60,7,高层,9,2,金昌南路杨家园,1,1,1,0,1,1,房源编号 307928380,2000
整租,2室2厅1卫,82,33,低层,6,2,焦家湾71路车终点站,0,0,0,0,0,1,房源编号 626789,2300
整租,2室2厅1卫,82,33,低层,6,2,焦家湾71路车终点站,0,0,0,0,0,1,房源编号 629054,2300
整租,1室1厅1卫,68,6,中层,10,4,北滨河路音乐喷泉处,1,1,1,1,1,1,房源编号 630027,500
整租,1室1厅1卫,67,10,低层,10,4,九州中路350-362路,1,1,1,1,1,1,房源编号 630024,500
整租,1室1厅1卫,42,14,高层,10,4,甘南路18号,1,1,1,1,1,1,房源编号 630018,700
整租,1室1厅1卫,55,15,高层,10,4,东岗东路1556-1652号,1,1,1,1,1,1,房源编号 630016,500
整租,1室1厅1卫,75,10,低层,10,4,定西路18号,1,1,1,1,1,1,房源编号 630014,500
整租,4室2厅2卫,170,32,高层,暂无,3,高新开发区T605号规划路以南，甘联大以东,1,1,0,0,1,1,房源编号 309310516,4500
整租,2室1厅1卫,97,30,低层,10,4,雁南路1700号,1,1,0,0,1,1,房源编号 309561849,3300
整租,2室2厅1卫,102,32,中层,6,4,甘肃联合大学东侧（北临黄河）,1,1,1,1,1,1,房源编号 309362615,3500
整租,2室2厅1卫,106,32,高层,暂无,4,雁北路(西邻辰北花园、鸿运润园，与天庆莱茵小镇相邻),1,1,1,1,1,1,房源编号 309143063,4700
整租,2室2厅1卫,95,18,低层,暂无,4,雁滩大桥向东，鸿运润园东侧,1,1,1,1,1,1,房源编号 309194695,3200
整租,3室2厅2卫,144,18,中层,暂无,4,雁滩大桥向东800米,1,1,1,1,1,1,房源编号 309179487,5500
整租,2室2厅1卫,97,33,高层,暂无,4,城关区雁西路1382号,1,1,0,0,1,1,房源编号 309202821,2700
整租,2室2厅1卫,104,32,中层,暂无,4,雁北路(西邻辰北花园、鸿运润园，与天庆莱茵小镇相邻),1,1,1,1,1,1,房源编号 309168623,4800
整租,2室2厅1卫,100,32,中层,暂无,5,雁滩黄河大桥向东800米,1,1,0,0,1,1,房源编号 309224874,4000
整租,2室1厅1卫,60,5,低层,10,3,嘉峪关东路131—137路,1,1,0,0,0,0,房源编号 309337501,1500
整租,2室2厅2卫,74,8,高层,4,3,东岗东路227号，三十二中旁边,1,0,0,0,1,1,房源编号 307602949,1800
整租,2室2厅1卫,106,7,高层,10,2,东岗东路983--1023号（时代伟业斜对面）,1,0,0,0,0,0,房源编号 307490921,2200
整租,2室2厅1卫,87,8,中层,10,1,段家滩，鱼池口22路车终点站,1,1,1,1,1,1,房源编号 307603370,1600
整租,2室2厅1卫,88,8,低层,10,3,段家滩路拱星墩街道,1,1,1,1,1,1,房源编号 307602557,2300
整租,1室1厅1卫,46,22,低层,10,3,东岗东路514号原6413厂(东岗东路1008-10,0,0,0,0,0,1,房源编号 307602201,1800
整租,2室1厅1卫,78,8,中层,7,3,东岗东路1556-1652号,1,1,1,1,1,1,房源编号 307603638,2000
整租,3室2厅1卫,120,6,高层,10,3,雁滩路3642-3668号,1,1,1,1,1,1,房源编号 307603083,2500
整租,2室1厅1卫,95,30,低层,10,4,区东岗东路（兰州三十二中对面）,1,0,1,1,0,0,房源编号 307969758,2200
整租,2室2厅2卫,130,21,中层,10,3,东岗东路514号原6413厂(东岗东路1008-10,1,1,1,1,1,1,房源编号 307603500,3000
整租,2室2厅1卫,90,32,中层,10,4,东岗东路1726号（距东部市场600多米）,1,1,1,1,1,1,房源编号 307602062,3200
整租,2室1厅1卫,60,6,低层,8,2,兰州市北辰路71号,0,0,0,0,0,0,房源编号 308400163,1900
整租,2室2厅1卫,97,7,低层,9,4,嘉峪关南路92-236号，二热十字附近,1,1,1,1,1,0,房源编号 307244327,2700
整租,2室1厅1卫,80,9,高层,10,3,东岗东路1556-1652号,1,1,1,1,1,1,房源编号 307602679,2000
整租,2室2厅1卫,84,29,低层,7,4,东岗东路1169号（焦家湾路和东岗东路十字）,1,1,0,0,1,1,房源编号 307602408,2600
整租,2室0厅1卫,40,7,高层,10,3,中街子101号,1,1,0,0,1,1,房源编号 309041328,1600
整租,2室0厅0卫,50,8,高层,5,3,静宁路250号,1,1,0,0,1,1,房源编号 308564552,1300
整租,2室0厅0卫,50,8,高层,5,3,静宁路250号,1,1,0,0,1,1,房源编号 309542187,1300
整租,2室2厅1卫,102,8,中层,10,3,静宁路311-313号,1,1,0,0,1,1,房源编号 309041309,2200
整租,1室1厅1卫,60,8,中层,9,3,秦安路420-428号,1,1,0,0,1,1,房源编号 308564615,1900
整租,2室2厅1卫,118,28,低层,6,3,张掖路中段(中央广场东南角),1,1,0,0,1,1,房源编号 308180468,5500
整租,3室2厅2卫,235,28,中层,10,3,张掖路中段(中央广场东南角),1,1,1,1,1,1,房源编号 309542246,15000
整租,1室1厅1卫,50,8,中层,暂无,3,静宁路北口,1,0,0,0,0,1,房源编号 309536430,1800
整租,2室0厅1卫,75,8,低层,暂无,3,兰州市城关区静安门外17号,1,1,0,0,1,1,房源编号 309537801,2200
整租,2室1厅1卫,100,33,中层,暂无,3,兰州市城关区永昌路295号,1,1,0,0,1,1,房源编号 309536202,5000
整租,3室2厅1卫,160,30,中层,8,3,庆阳路南关什字东200米（西北书城斜对面）,1,1,0,0,1,1,房源编号 309535538,8000
整租,1室1厅1卫,60,8,高层,暂无,3,城关区秦安路144号,1,1,0,0,1,1,房源编号 309537066,1600
整租,3室0厅1卫,80,8,中层,8,3,武都路绣河沿51号,1,1,1,1,1,1,房源编号 309535877,2300
整租,2室1厅1卫,110,25,高层,暂无,3,静宁路十字澳兰名门东侧,0,0,0,0,0,1,房源编号 309536474,3600
整租,2室1厅1卫,87,8,高层,暂无,3,白银路499-513号,1,1,0,0,1,1,房源编号 309536851,2000
整租,2室2厅1卫,110,8,中层,8,2,省政府山字石箭道巷18-24号,1,1,0,0,1,1,房源编号 309536719,3200
整租,2室1厅1卫,60,8,中层,8,3,武都路与永昌路十字附近,1,1,0,0,1,1,房源编号 309537025,2000
